Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Coffs Harbour,,YCFS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6412,,Bureau of Meteorology,,,,,,
,Condobolin,,YCDO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6413,,Bureau of Meteorology,,,,,,
,Cooma Snowy Mountains,,YCOM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6414,,Bureau of Meteorology,,,,,,
,Coonabarabran,,YCBB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6415,,Bureau of Meteorology,,,,,,
,Coonamble,,YCNM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6416,,Bureau of Meteorology,,,,,,
,Cowra,,YCWR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6417,,Bureau of Meteorology,,,,,,
,Deniliquin,,YDLQ,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6418,,Bureau of Meteorology,,,,,,
,Dubbo,,YSDU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6419,,Bureau of Meteorology,,,,,,
,Forbes,,YFBS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6420,,Bureau of Meteorology,,,,,,
,Glen Innes,,YGLI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6421,,Bureau of Meteorology,,,,,,
,Goulburn,,YGLB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6422,,Bureau of Meteorology,,,,,,
,Grafton,,YGFN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6423,,Bureau of Meteorology,,,,,,
,Griffith,,YGTH,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6424,,Bureau of Meteorology,,,,,,
,Gunnedah,,YGDH,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6425,,Bureau of Meteorology,,,,,,
,Hay,,YHAY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6426,,Bureau of Meteorology,,,,,,
,Holsworthy,,YSHW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6427,,Bureau of Meteorology,,,,,,
,Ivanhoe,,YIVO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6428,,Bureau of Meteorology,,,,,,
,Kempsey,,YKMP,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6430,,Bureau of Meteorology,,,,,,
,Lismore,,YLIS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6431,,Bureau of Meteorology,,,,,,
,Lord Howe Island,,YLHI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6432,,Bureau of Meteorology,,,,,,
,Maitland (NSW),,YMND,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6433,,Bureau of Meteorology,,,,,,
,Merimbula,,YMER,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6434,,Bureau of Meteorology,,,,,,
,Moree,,YMOR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6435,,Bureau of Meteorology,,,,,,
,Moruya,,YMRY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6436,,Bureau of Meteorology,,,,,,
,Moss Vale,,MSV,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6437,,Bureau of Meteorology,,,,,,
,Mount Boyce,,MTB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6438,,Bureau of Meteorology,,,,,,
,Mudgee,,YMDG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6439,,Bureau of Meteorology,,,,,,
,Murrurundi,,MUI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6440,,Bureau of Meteorology,,,,,,
,Narrabri,,YNBR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6441,,Bureau of Meteorology,,,,,,
,Narrandera,,YNAR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6442,,Bureau of Meteorology,,,,,,
,Norfolk Island,,YSNF,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6443,,Bureau of Meteorology,,,,,,
,Nowra,,YSNW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6444,,Bureau of Meteorology,,,,,,
,Orange,,YORG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6445,,Bureau of Meteorology,,,,,,
,Parkes,,YPKS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6446,,Bureau of Meteorology,,,,,,
,Port Macquaire,,YPMQ,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6447,,Bureau of Meteorology,,,,,,
,Richmond (NSW),,YSRI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6448,,Bureau of Meteorology,,,,,,
,Scone,,YSCO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6449,,Bureau of Meteorology,,,,,,
,Sydney/Kingsford Smith,,YSSY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6450,,Bureau of Meteorology,,,,,,
,Tamworth,,YSTW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6451,,Bureau of Meteorology,,,,,,
,Taree,,YTRE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6452,,Bureau of Meteorology,,,,,,
,Temora,,YTEM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6453,,Bureau of Meteorology,,,,,,
,Tibooburra,,YTIB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6454,,Bureau of Meteorology,,,,,,
,Wagga Wagga,,YSWG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6455,,Bureau of Meteorology,,,,,,
,Walgett,,YWLG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6456,,Bureau of Meteorology,,,,,,
,West Wyalong,,YWWL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6457,,Bureau of Meteorology,,,,,,
,Wilcannia,,YWCA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6459,,Bureau of Meteorology,,,,,,
,Williamtown,,YWLM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6460,,Bureau of Meteorology,,,,,,
,Shellharbour Airport,,YSHL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6461,,Bureau of Meteorology,,,,,,
,Young,,YYNG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,NSW AWIS ::: * myContacts,AWIS,02 9353 6462,,Bureau of Meteorology,,,,,,
