Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Port Hedland,,YPPD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2634,,Bureau of Meteorology,,,,,,
,Rottnest Island,,YRTI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2635,,Bureau of Meteorology,,,,,,
,Shark Bay,,YSHK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2636,,Bureau of Meteorology,,,,,,
,Southern Cross,,YSCR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2637,,Bureau of Meteorology,,,,,,
,Telfer,,YTEF,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2638,,Bureau of Meteorology,,,,,,
,Tropicana,,YTRA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2639,,Bureau of Meteorology,,,,,,
,Warburton,,YWBR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2640,,Bureau of Meteorology,,,,,,
,Wiluna,,YWLU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2641,,Bureau of Meteorology,,,,,,
,Wyndham,,YWYM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2642,,Bureau of Meteorology,,,,,,
,Curtin,,YCIN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2609,,Bureau of Meteorology,,,,,,
,Leonora,,YLEO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6216 2625,,Bureau of Meteorology,,,,,,
,West Angelas,,YANG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,WA AWIS ::: * myContacts,AWIS,08 6332 8175,,Bureau of Meteorology,,,,,,
