Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Hughenden,,YHUG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3719,,Bureau of Meteorology,,,,,,
,Kingaroy,,YKRY,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3720,,Bureau of Meteorology,,,,,,
,Kowanyama,,YKOW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3721,,Bureau of Meteorology,,,,,,
,Lockhart River,,YLHR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3722,,Bureau of Meteorology,,,,,,
,Longreach,,YLRE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3723,,Bureau of Meteorology,,,,,,
,Mackay,,YBMK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3724,,Bureau of Meteorology,,,,,,
,Mareeba,,YMBA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3725,,Bureau of Meteorology,,,,,,
,Maryborough (QLD),,YMYB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3726,,Bureau of Meteorology,,,,,,
,Moranbah,,YMRB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3727,,Bureau of Meteorology,,,,,,
,Mornington Island,,YMTI,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3728,,Bureau of Meteorology,,,,,,
,Mount Isa,,YBMA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3729,,Bureau of Meteorology,,,,,,
,Normanton,,YNTN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3730,,Bureau of Meteorology,,,,,,
,Oakey,,YBOK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3731,,Bureau of Meteorology,,,,,,
,Proserpine/Whitsunday Coast,,YBPN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3732,,Bureau of Meteorology,,,,,,
,Richmond (QLD),,YRMD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3733,,Bureau of Meteorology,,,,,,
,Rockhampton,,YBRK,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3734,,Bureau of Meteorology,,,,,,
,Roma,,YROM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3735,,Bureau of Meteorology,,,,,,
,Scherger (RAAF),,YBSG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3737,,Bureau of Meteorology,,,,,,
,Sunshine Coast,,YBSU,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3738,,Bureau of Meteorology,,,,,,
,Thangool,,YTNG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3739,,Bureau of Meteorology,,,,,,
,Thargomindah,,YTGM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3740,,Bureau of Meteorology,,,,,,
,The Monument,,YTMO,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3741,,Bureau of Meteorology,,,,,,
,Toowoomba,,YTWB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3742,,Bureau of Meteorology,,,,,,
,Townsville/ Townsville INTL,,YBTL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3743,,Bureau of Meteorology,,,,,,
,Trepell,,YTEE,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3744,,Bureau of Meteorology,,,,,,
,Weipa,,YBWP,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3745,,Bureau of Meteorology,,,,,,
,Brisbane West Wellcamp,,YBWW,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3746,,Bureau of Meteorology,,,,,,
,Williamson,,YWIS,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 3564 3747,,Bureau of Meteorology,,,,,,
,Chinchilla,,YCCA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,QLD AWIS ::: * myContacts,AWIS,07 4662 7582,,Bureau of Meteorology,,,,,,
