Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Melbourne,,YMML,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3214,,Bureau of Meteorology,,,,,,
,Mildura,,YMIA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3215,,Bureau of Meteorology,,,,,,
,Melbourne/Moorabbin,,YMMB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3216,,Bureau of Meteorology,,,,,,
,Mount Hotham,,YHOT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3217,,Bureau of Meteorology,,,,,,
,Nhill,,YNHL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3218,,Bureau of Meteorology,,,,,,
,Shepparton,,YSHT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3219,,Bureau of Meteorology,,,,,,
,Stawell,,YSWL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3220,,Bureau of Meteorology,,,,,,
,Swan Hill,,YSWH,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3221,,Bureau of Meteorology,,,,,,
,Wangaratta,,YWGT,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3222,,Bureau of Meteorology,,,,,,
,Warracknabeal,,YWKB,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3223,,Bureau of Meteorology,,,,,,
,Warrnambool,,YWBL,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3224,,Bureau of Meteorology,,,,,,
,Yarram,,YYRM,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,VIC AWIS ::: * myContacts,AWIS,03 8470 3225,,Bureau of Meteorology,,,,,,
