Name,Given Name,Additional Name,Family Name,Yomi Name,Given Name Yomi,Additional Name Yomi,Family Name Yomi,Name Prefix,Name Suffix,Initials,Nickname,Short Name,Maiden Name,Birthday,Gender,Location,Billing Information,Directory Server,Mileage,Occupation,Hobby,Sensitivity,Priority,Subject,Notes,Language,Photo,Group Membership,Phone 1 - Type,Phone 1 - Value,Organization 1 - Type,Organization 1 - Name,Organization 1 - Yomi Name,Organization 1 - Title,Organization 1 - Department,Organization 1 - Symbol,Organization 1 - Location,Organization 1 - Job Description
,Naracoorte,,YNRC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3810,,Bureau of Meteorology,,,,,,
,Olympic Dam,,YOLD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3811,,Bureau of Meteorology,,,,,,
,Oodnadatta,,YOOD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3812,,Bureau of Meteorology,,,,,,
,Adelaide/Parafield,,YPPF,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3813,,Bureau of Meteorology,,,,,,
,Port Augusta,,YPAG,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3814,,Bureau of Meteorology,,,,,,
,Port Lincoln,,YPLC,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3815,,Bureau of Meteorology,,,,,,
,Ernabella (Pukatja),,YERN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3816,,Bureau of Meteorology,,,,,,
,Renmark,,YREN,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3817,,Bureau of Meteorology,,,,,,
,Tarcoola,,YTAR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3818,,Bureau of Meteorology,,,,,,
,Whyalla,,YWHA,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3819,,Bureau of Meteorology,,,,,,
,Woomera,,YPWR,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3820,,Bureau of Meteorology,,,,,,
,Wudinna,,YWUD,,,,,,,,,,,,,,,,,,,,,,Published 29 Mar 2022 at 14:48 http://www.bom.gov.au/aviation/data/location-info/location-info-national.pdf,,,SA AWIS ::: * myContacts,AWIS,08 8150 3821,,Bureau of Meteorology,,,,,,
