"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.*",
"'NT","'Bayu Undan","'YBYU","'Y","'N","'Y","'Y","'Y","'N","'N",
"'VIC","'Bendigo","'YBDG","'Y","'N","'Y","'Y","'Y","'(03) 8470 3203","'Y",
"'QLD","'Birdsville","'YBDV","'Y","'N","'Y","'N","'N","'(07) 3564 3703","'N",
"'QLD","'Blackall","'YBCK","'N","'N","'Y","'N","'N","'(07) 3564 3704","'Y",
"'WA","'Boolgeeda","'YBGD","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'NT","'Borroloola","'YBRL","'N","'N","'Y","'N","'N","'(08) 7922 2502","'N",
"'NSW","'Bourke","'YBKE","'Y","'N","'Y","'N","'N","'(02) 9353 6405","'Y",
"'QLD","'Brisbane","'YBBN","'Y","'Y","'Y","'Y","'Y","'(07) 3564 3705","'N",
"'QLD","'Brisbane/Archerfield","'YBAF","'Y","'N","'Y","'Y","'Y","'(07) 3564 3701","'Y",
"'QLD","'Brisbane West Wellcamp","'YBWW","'Y","'N","'Y","'Y","'Y","'(07) 3564 3746","'Y",
"'NSW","'Broken Hill","'YBHI","'Y","'N","'Y","'Y","'Y","'(02) 9353 6406","'N",
"'WA","'Broome/INTL","'YBRM","'Y","'N","'Y","'Y","'Y","'(08) 6216 2603","'Y",
"'WA","'Bunbury","'YBUN","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'QLD","'Bundaberg","'YBUD","'Y","'N","'Y","'Y","'Y","'(07) 3564 3706","'Y",
"'QLD","'Burketown","'YBKT","'Y","'N","'Y","'Y","'Y","'(07) 3564 3707","'Y",
"'WA","'Busselton","'YBLN","'Y","'N","'Y","'N","'N","'(08) 6216 2604","'Y",
"'QLD","'Cairns/Cairns INTL","'YBCS","'Y","'Y","'Y","'Y","'Y","'(07) 3564 3708","'N",
"'NSW","'Camden","'YSCN","'Y","'N","'Y","'Y","'Y","'(02) 9353 6407","'Y",
"'NSW","'Canberra","'YSCB","'Y","'Y","'Y","'Y","'Y","'(02) 9353 6408","'Y",
"'WA","'Carnarvon","'YCAR","'Y","'N","'Y","'Y","'Y","'(08) 6216 2605","'Y",
"'NSW","'Casino","'YCAS","'N","'N","'Y","'N","'N","'(02) 9353 6409","'N",
"'SA","'Ceduna","'YCDU","'Y","'N","'Y","'Y","'Y","'(08) 8150 3801","'N",
"'QLD","'Century Mine","'YCNY","'N","'N","'Y","'N","'N","'(07) 3564 3709","'Y",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'93.60351563","'95.89843750","'93.94531250","'90.57617188","'75.68359375","'93.94531250","'96.14257813","'95.11718750","'95.50781250","'94.23828125",
"'88.08593750","'90.28320313","'88.42773438","'85.25390625","'71.24023438","'88.42773438","'90.47851563","'89.55078125","'89.89257813","'88.67187500",
"'91.01562500","'93.26171875","'91.35742188","'88.08593750","'73.58398438","'91.35742188","'93.50585938","'92.52929688","'92.87109375","'91.65039063",
"'91.35742188","'93.60351563","'91.69921875","'88.42773438","'73.87695313","'91.69921875","'93.84765625","'92.87109375","'93.21289063","'91.94335938",
"'91.74804688","'93.99414063","'92.04101563","'88.76953125","'74.16992188","'92.04101563","'94.23828125","'93.21289063","'93.60351563","'92.33398438",
"'92.13867188","'94.43359375","'92.48046875","'89.16015625","'74.51171875","'92.48046875","'94.62890625","'93.65234375","'94.04296875","'92.77343750",
"'91.89453125","'94.18945313","'92.23632813","'88.96484375","'74.31640625","'92.23632813","'94.43359375","'93.40820313","'93.79882813","'92.52929688",
"'91.55273438","'93.79882813","'91.89453125","'88.57421875","'74.02343750","'91.89453125","'94.04296875","'93.06640625","'93.40820313","'92.13867188",
"'91.50390625","'93.75000000","'91.84570313","'88.52539063","'73.97460938","'91.84570313","'93.99414063","'93.01757813","'93.35937500","'92.08984375",
"'91.84570313","'94.09179688","'92.13867188","'88.86718750","'74.21875000","'92.13867188","'94.33593750","'93.31054688","'93.70117188","'92.43164063",
"'91.50390625","'93.75000000","'91.84570313","'88.52539063","'73.97460938","'91.84570313","'93.99414063","'93.01757813","'93.35937500","'92.08984375",
"'91.45507813","'93.70117188","'91.79687500","'88.47656250","'73.92578125","'91.79687500","'93.94531250","'92.96875000","'93.31054688","'92.04101563",
"'91.55273438","'93.79882813","'91.89453125","'88.57421875","'74.02343750","'91.89453125","'94.04296875","'93.06640625","'93.40820313","'92.13867188",
"'91.50390625","'93.75000000","'91.84570313","'88.52539063","'73.97460938","'91.84570313","'93.99414063","'93.01757813","'93.35937500","'92.08984375",
"'92.04101563","'94.33593750","'92.38281250","'89.06250000","'74.41406250","'92.38281250","'94.53125000","'93.55468750","'93.94531250","'92.67578125",
"'90.52734375","'92.72460938","'90.82031250","'87.59765625","'73.19335938","'90.82031250","'92.96875000","'91.99218750","'92.38281250","'91.11328125",
"'90.03906250","'92.28515625","'90.38085938","'87.15820313","'72.80273438","'90.38085938","'92.48046875","'91.55273438","'91.89453125","'90.67382813",
"'92.38281250","'94.62890625","'92.72460938","'89.40429688","'74.70703125","'92.72460938","'94.87304688","'93.89648438","'94.28710938","'93.01757813",
"'90.86914063","'93.11523438","'91.21093750","'87.93945313","'73.48632813","'91.21093750","'93.35937500","'92.38281250","'92.77343750","'91.50390625",
"'90.47851563","'92.67578125","'90.82031250","'87.54882813","'73.14453125","'90.82031250","'92.91992188","'91.94335938","'92.33398438","'91.06445313",
"'91.60156250","'93.84765625","'91.89453125","'88.62304688","'74.07226563","'91.89453125","'94.09179688","'93.06640625","'93.45703125","'92.18750000",
"'90.38085938","'92.57812500","'90.72265625","'87.45117188","'73.09570313","'90.72265625","'92.82226563","'91.84570313","'92.23632813","'90.96679688",
"'91.84570313","'94.09179688","'92.13867188","'88.86718750","'74.21875000","'92.13867188","'94.33593750","'93.31054688","'93.70117188","'92.43164063",
"'91.69921875","'93.94531250","'91.99218750","'88.72070313","'74.12109375","'91.99218750","'94.18945313","'93.16406250","'93.55468750","'92.28515625",
"'91.30859375","'93.55468750","'91.65039063","'88.37890625","'73.82812500","'91.65039063","'93.79882813","'92.82226563","'93.16406250","'91.89453125",
"'91.45507813","'93.70117188","'91.79687500","'88.47656250","'73.92578125","'91.79687500","'93.94531250","'92.96875000","'93.31054688","'92.04101563",
"'90.91796875","'93.16406250","'91.25976563","'87.98828125","'73.53515625","'91.25976563","'93.40820313","'92.43164063","'92.82226563","'91.55273438",
"'91.55273438","'93.79882813","'91.89453125","'88.57421875","'74.02343750","'91.89453125","'94.04296875","'93.06640625","'93.40820313","'92.13867188",
"'90.72265625","'92.91992188","'91.01562500","'87.79296875","'73.33984375","'91.01562500","'93.16406250","'92.18750000","'92.57812500","'91.30859375",
"'90.57617188","'92.77343750","'90.86914063","'87.64648438","'73.24218750","'90.86914063","'93.01757813","'92.04101563","'92.43164063","'91.16210938",
"'90.23437500","'92.48046875","'90.57617188","'87.30468750","'72.94921875","'90.57617188","'92.67578125","'91.69921875","'92.08984375","'90.82031250",
"'90.23437500","'92.48046875","'90.57617188","'87.30468750","'72.94921875","'90.57617188","'92.67578125","'91.69921875","'92.08984375","'90.82031250",
"'91.55273438","'93.79882813","'91.89453125","'88.57421875","'74.02343750","'91.89453125","'94.04296875","'93.06640625","'93.40820313","'92.13867188",
"'91.01562500","'93.26171875","'91.35742188","'88.08593750","'73.58398438","'91.35742188","'93.50585938","'92.52929688","'92.87109375","'91.65039063",
"'90.77148438","'92.96875000","'91.06445313","'87.84179688","'73.38867188","'91.06445313","'93.21289063","'92.23632813","'92.62695313","'91.35742188",
"'90.08789063","'92.33398438","'90.42968750","'87.20703125","'72.85156250","'90.42968750","'92.52929688","'91.55273438","'91.94335938","'90.72265625",
"'91.84570313","'94.14062500","'92.18750000","'88.91601563","'74.26757813","'92.18750000","'94.38476563","'93.35937500","'93.75000000","'92.48046875",
"'91.60156250","'93.84765625","'91.89453125","'88.62304688","'74.07226563","'91.89453125","'94.09179688","'93.06640625","'93.45703125","'92.18750000",
"'90.18554688","'92.43164063","'90.52734375","'87.30468750","'72.90039063","'90.52734375","'92.62695313","'91.65039063","'92.04101563","'90.77148438",
"'91.25976563","'93.50585938","'91.60156250","'88.33007813","'73.77929688","'91.60156250","'93.75000000","'92.77343750","'93.11523438","'91.89453125",
"'91.30859375","'93.55468750","'91.65039063","'88.37890625","'73.82812500","'91.65039063","'93.79882813","'92.82226563","'93.16406250","'91.89453125",
"'92.57812500","'94.82421875","'92.91992188","'89.59960938","'74.85351563","'92.91992188","'95.06835938","'94.09179688","'94.48242188","'93.16406250",
