"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.",
"'NT","'Hooker Creek (Lajamanu)","'YHOO","'Y","'N","'Y","'N","'N","'(08) 7922 2508","'N",
"'VIC","'Hopetoun","'YHPN","'N","'N","'Y","'N","'N","'N","'N",
"'QLD","'Horn Island","'YHID","'Y","'N","'Y","'Y","'Y","'(07) 3564 3718","'Y",
"'VIC","'Horsham","'YHSM","'Y","'N","'Y","'Y","'Y","'(03) 8470 3209","'Y",
"'QLD","'Hughenden","'YHUG","'Y","'N","'Y","'Y","'Y","'(07) 3564 3719","'Y",
"'QLD","'Innisfail","'YIFL","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'WA","'Iron Bridge Mine","'YIBO","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'NSW","'Ivanhoe","'YIVO","'Y","'N","'Y","'N","'N","'(02) 9353 6428","'Y",
"'NT","'Jabiru","'YJAB","'Y","'N","'Y","'N","'N","'(08) 7922 2507","'Y",
"'QLD","'Julia Creek","'YJLC","'Y","'N","'Y","'N","'N","'N","'N",
"'SA","'Kadina","'YKDI","'N","'N","'Y","'N","'N","'N","'N",
"'WA","'Kalgoorlie-Boulder","'YPKG","'Y","'N","'Y","'Y","'Y","'(08) 6216 2619","'Y",
"'WA","'Kalumburu","'YKAL","'N","'N","'Y","'N","'N","'N","'N",
"'WA","'Karratha","'YPKA","'Y","'N","'Y","'Y","'Y","'(08) 6216 2620","'Y",
"'NSW","'Kempsey","'YKMP","'N","'N","'Y","'N","'N","'(02) 9353 6430","'Y",
"'VIC","'Kilmore Gap","'KMG","'N","'N","'Y","'Y","'Y","'(03) 8470 3210","'Y",
"'TAS","'King Island","'YKII","'Y","'N","'Y","'Y","'Y","'(03) 6283 8603","'Y",
"'QLD","'Kingaroy","'YKRY","'Y","'N","'Y","'Y","'Y","'(07) 3564 3720","'Y",
"'SA","'Kingscote/Kangaroo Island","'YKSC","'Y","'N","'Y","'Y","'Y","'(08) 8150 3806","'Y",
"'NT","'Kintore (Wulungurru)","'YKNT","'N","'N","'Y","'N","'N","'N","'N",
"'WA","'Koolan Island/Koolan Central","'YKLC","'Y","'N","'Y","'Y","'Y","'N","'Y",
"'QLD","'Kowanyama","'YKOW","'Y","'N","'Y","'Y","'Y","'(07) 3564 3721","'Y",
"'WA","'Kununurra","'YPKU","'Y","'N","'Y","'Y","'Y","'(08) 6216 2621","'Y",
"'VIC","'Latrobe Valley","'YLTV","'Y","'N","'Y","'Y","'Y","'(03) 8470 3211","'Y",
"'TAS","'Launceston","'YMLT","'Y","'N","'Y","'Y","'Y","'(03) 6283 8604","'Y",
"'WA","'Laverton","'YLTN","'N","'N","'Y","'N","'N","'(08) 6216 2622","'Y",
"'VIC","'Laverton","'YLVT","'N","'N","'Y","'Y","'Y","'N","'N",
"'WA","'Learmonth","'YPLM","'Y","'N","'Y","'Y","'Y","'(08) 6216 2623","'N",
"'SA","'Leigh Creek","'YLEC","'Y","'N","'Y","'Y","'Y","'(08) 8150 3807","'N",
"'WA","'Leinster","'YLST","'Y","'N","'Y","'Y","'Y","'(08) 6216 2624","'Y",
,,,,,,,,,

'Confidence Scores % (Table Cell)
"'94.18945313","'96.33789063","'93.31054688","'91.40625000","'94.14062500","'94.87304688","'96.43554688","'95.06835938","'96.14257813","'94.14062500",
"'89.45312500","'91.45507813","'88.57421875","'86.81640625","'89.35546875","'90.08789063","'91.55273438","'90.23437500","'91.25976563","'89.40429688",
"'90.42968750","'92.43164063","'89.55078125","'87.74414063","'90.33203125","'91.06445313","'92.52929688","'91.25976563","'92.28515625","'90.38085938",
"'92.33398438","'94.38476563","'91.45507813","'89.59960938","'92.23632813","'93.01757813","'94.48242188","'93.16406250","'94.23828125","'92.28515625",
"'91.69921875","'93.75000000","'90.82031250","'88.96484375","'91.60156250","'92.33398438","'93.84765625","'92.52929688","'93.55468750","'91.65039063",
"'91.74804688","'93.79882813","'90.82031250","'89.01367188","'91.65039063","'92.38281250","'93.89648438","'92.57812500","'93.60351563","'91.69921875",
"'91.74804688","'93.79882813","'90.82031250","'89.01367188","'91.65039063","'92.38281250","'93.89648438","'92.57812500","'93.60351563","'91.69921875",
"'91.94335938","'94.04296875","'91.06445313","'89.25781250","'91.89453125","'92.62695313","'94.14062500","'92.82226563","'93.84765625","'91.89453125",
"'91.69921875","'93.75000000","'90.82031250","'88.96484375","'91.60156250","'92.33398438","'93.84765625","'92.52929688","'93.55468750","'91.65039063",
"'91.74804688","'93.79882813","'90.82031250","'89.01367188","'91.65039063","'92.38281250","'93.89648438","'92.57812500","'93.60351563","'91.69921875",
"'91.89453125","'93.94531250","'90.96679688","'89.16015625","'91.79687500","'92.52929688","'94.04296875","'92.72460938","'93.75000000","'91.84570313",
"'91.69921875","'93.75000000","'90.82031250","'88.96484375","'91.60156250","'92.33398438","'93.84765625","'92.52929688","'93.55468750","'91.65039063",
"'91.79687500","'93.84765625","'90.86914063","'89.06250000","'91.69921875","'92.43164063","'93.94531250","'92.62695313","'93.65234375","'91.74804688",
"'92.13867188","'94.23828125","'91.25976563","'89.45312500","'92.04101563","'92.82226563","'94.28710938","'93.01757813","'94.04296875","'92.08984375",
"'90.77148438","'92.77343750","'89.89257813","'88.08593750","'90.67382813","'91.40625000","'92.87109375","'91.60156250","'92.57812500","'90.72265625",
"'91.89453125","'93.99414063","'91.01562500","'89.20898438","'91.84570313","'92.57812500","'94.09179688","'92.77343750","'93.79882813","'91.89453125",
"'90.72265625","'92.72460938","'89.84375000","'88.03710938","'90.62500000","'91.35742188","'92.82226563","'91.55273438","'92.52929688","'90.67382813",
"'90.96679688","'93.01757813","'90.08789063","'88.28125000","'90.86914063","'91.65039063","'93.11523438","'91.79687500","'92.82226563","'90.91796875",
"'92.08984375","'94.18945313","'91.21093750","'89.40429688","'91.99218750","'92.77343750","'94.28710938","'92.96875000","'93.99414063","'92.04101563",
"'91.40625000","'93.45703125","'90.52734375","'88.72070313","'91.30859375","'92.04101563","'93.55468750","'92.23632813","'93.26171875","'91.35742188",
"'91.45507813","'93.50585938","'90.57617188","'88.76953125","'91.35742188","'92.08984375","'93.60351563","'92.28515625","'93.31054688","'91.40625000",
"'92.04101563","'94.14062500","'91.16210938","'89.35546875","'91.94335938","'92.72460938","'94.23828125","'92.91992188","'93.94531250","'91.99218750",
"'91.55273438","'93.60351563","'90.67382813","'88.81835938","'91.45507813","'92.18750000","'93.70117188","'92.38281250","'93.40820313","'91.50390625",
"'91.84570313","'93.89648438","'90.91796875","'89.11132813","'91.74804688","'92.48046875","'93.99414063","'92.67578125","'93.70117188","'91.79687500",
"'91.65039063","'93.70117188","'90.77148438","'88.91601563","'91.55273438","'92.28515625","'93.79882813","'92.48046875","'93.50585938","'91.60156250",
"'91.60156250","'93.65234375","'90.72265625","'88.86718750","'91.50390625","'92.23632813","'93.75000000","'92.43164063","'93.45703125","'91.55273438",
"'92.52929688","'94.58007813","'91.65039063","'89.79492188","'92.43164063","'93.16406250","'94.67773438","'93.35937500","'94.43359375","'92.48046875",
"'91.84570313","'93.89648438","'90.91796875","'89.11132813","'91.74804688","'92.48046875","'93.99414063","'92.67578125","'93.70117188","'91.79687500",
"'91.60156250","'93.65234375","'90.72265625","'88.86718750","'91.50390625","'92.23632813","'93.75000000","'92.43164063","'93.45703125","'91.55273438",
"'91.89453125","'93.99414063","'91.01562500","'89.20898438","'91.84570313","'92.57812500","'94.09179688","'92.77343750","'93.79882813","'91.89453125",
"'91.94335938","'94.04296875","'91.06445313","'89.25781250","'91.89453125","'92.62695313","'94.14062500","'92.82226563","'93.84765625","'91.89453125",
"'91.79687500","'93.84765625","'90.86914063","'89.06250000","'91.69921875","'92.43164063","'93.94531250","'92.62695313","'93.65234375","'91.74804688",
"'91.25976563","'93.31054688","'90.38085938","'88.57421875","'91.16210938","'91.89453125","'93.40820313","'92.08984375","'93.11523438","'91.21093750",
"'90.77148438","'92.77343750","'89.89257813","'88.08593750","'90.67382813","'91.40625000","'92.87109375","'91.60156250","'92.57812500","'90.72265625",
"'90.08789063","'92.08984375","'89.20898438","'87.45117188","'89.99023438","'90.72265625","'92.18750000","'90.91796875","'91.94335938","'90.03906250",
"'91.21093750","'93.26171875","'90.33203125","'88.52539063","'91.11328125","'91.84570313","'93.35937500","'92.04101563","'93.06640625","'91.16210938",
"'90.96679688","'93.01757813","'90.08789063","'88.28125000","'90.86914063","'91.65039063","'93.11523438","'91.79687500","'92.82226563","'90.91796875",
"'89.20898438","'91.21093750","'88.33007813","'86.57226563","'89.11132813","'89.84375000","'91.30859375","'90.03906250","'91.01562500","'89.16015625",
"'88.42773438","'90.38085938","'87.54882813","'85.79101563","'88.33007813","'89.01367188","'90.47851563","'89.20898438","'90.18554688","'88.37890625",
"'89.99023438","'91.99218750","'89.11132813","'87.35351563","'89.89257813","'90.62500000","'92.08984375","'90.82031250","'91.84570313","'89.94140625",
"'89.45312500","'91.45507813","'88.57421875","'86.81640625","'89.35546875","'90.08789063","'91.55273438","'90.23437500","'91.25976563","'89.40429688",
"'90.77148438","'92.82226563","'89.89257813","'88.13476563","'90.72265625","'91.45507813","'92.91992188","'91.65039063","'92.62695313","'90.77148438",
"'91.06445313","'93.11523438","'90.18554688","'88.37890625","'90.96679688","'91.74804688","'93.21289063","'91.89453125","'92.91992188","'91.01562500",
"'90.18554688","'92.18750000","'89.30664063","'87.50000000","'90.08789063","'90.82031250","'92.28515625","'91.01562500","'92.04101563","'90.13671875",
"'91.25976563","'93.31054688","'90.38085938","'88.57421875","'91.16210938","'91.89453125","'93.40820313","'92.08984375","'93.11523438","'91.21093750",
"'91.89453125","'93.99414063","'91.01562500","'89.20898438","'91.84570313","'92.57812500","'94.09179688","'92.77343750","'93.79882813","'91.89453125",
"'91.21093750","'93.26171875","'90.33203125","'88.52539063","'91.11328125","'91.84570313","'93.35937500","'92.04101563","'93.06640625","'91.16210938",
"'91.21093750","'93.26171875","'90.33203125","'88.52539063","'91.11328125","'91.84570313","'93.35937500","'92.04101563","'93.06640625","'91.16210938",
"'91.50390625","'93.55468750","'90.62500000","'88.81835938","'91.40625000","'92.13867188","'93.65234375","'92.33398438","'93.35937500","'91.45507813",
"'91.50390625","'93.55468750","'90.62500000","'88.81835938","'91.40625000","'92.13867188","'93.65234375","'92.33398438","'93.35937500","'91.45507813",
"'93.06640625","'95.11718750","'92.13867188","'90.28320313","'92.96875000","'93.70117188","'95.21484375","'93.89648438","'94.92187500","'93.01757813",
