"'STATE","'LOCATION","'ID","'TAF","'TAF3","'AWS","'CEILOMETER","'VISMETER","'AWIS NO.","'AWIS FREQ.*",
"'90.13671875","'91.89453125","'88.72070313","'87.06054688","'89.59960938","'89.89257813","'92.04101563","'90.77148438","'91.69921875","'89.64843750",
"'92.08984375","'93.89648438","'90.67382813","'88.96484375","'91.55273438","'91.89453125","'94.04296875","'92.77343750","'93.70117188","'91.60156250",
"'91.79687500","'93.55468750","'90.33203125","'88.67187500","'91.21093750","'91.55273438","'93.70117188","'92.43164063","'93.35937500","'91.25976563",
"'90.18554688","'91.94335938","'88.76953125","'87.10937500","'89.64843750","'89.94140625","'92.04101563","'90.82031250","'91.74804688","'89.69726563",
"'92.52929688","'94.33593750","'91.06445313","'89.35546875","'91.94335938","'92.28515625","'94.43359375","'93.16406250","'94.14062500","'91.99218750",
"'90.42968750","'92.18750000","'89.01367188","'87.35351563","'89.84375000","'90.18554688","'92.28515625","'91.06445313","'91.99218750","'89.89257813",
"'89.94140625","'91.69921875","'88.52539063","'86.86523438","'89.40429688","'89.69726563","'91.84570313","'90.57617188","'91.50390625","'89.45312500",
"'90.86914063","'92.62695313","'89.45312500","'87.79296875","'90.33203125","'90.67382813","'92.77343750","'91.55273438","'92.48046875","'90.38085938",
"'91.21093750","'92.96875000","'89.79492188","'88.08593750","'90.67382813","'90.96679688","'93.11523438","'91.84570313","'92.77343750","'90.72265625",
"'90.72265625","'92.48046875","'89.30664063","'87.64648438","'90.18554688","'90.52734375","'92.62695313","'91.40625000","'92.33398438","'90.23437500",
"'90.57617188","'92.28515625","'89.11132813","'87.45117188","'89.99023438","'90.33203125","'92.43164063","'91.21093750","'92.13867188","'90.03906250",
"'90.96679688","'92.72460938","'89.55078125","'87.89062500","'90.42968750","'90.77148438","'92.87109375","'91.65039063","'92.57812500","'90.47851563",
"'90.91796875","'92.67578125","'89.50195313","'87.84179688","'90.38085938","'90.72265625","'92.82226563","'91.60156250","'92.52929688","'90.42968750",
"'90.62500000","'92.33398438","'89.16015625","'87.50000000","'90.03906250","'90.38085938","'92.48046875","'91.25976563","'92.18750000","'90.08789063",
"'90.77148438","'92.52929688","'89.35546875","'87.69531250","'90.23437500","'90.57617188","'92.67578125","'91.45507813","'92.38281250","'90.28320313",
"'90.33203125","'92.08984375","'88.91601563","'87.25585938","'89.79492188","'90.08789063","'92.18750000","'90.96679688","'91.89453125","'89.79492188",
"'91.30859375","'93.06640625","'89.89257813","'88.18359375","'90.77148438","'91.06445313","'93.21289063","'91.94335938","'92.87109375","'90.82031250",
"'90.72265625","'92.43164063","'89.25781250","'87.59765625","'90.13671875","'90.47851563","'92.57812500","'91.35742188","'92.28515625","'90.18554688",
"'89.55078125","'91.30859375","'88.18359375","'86.52343750","'89.01367188","'89.35546875","'91.45507813","'90.23437500","'91.11328125","'89.06250000",
"'91.45507813","'93.21289063","'89.99023438","'88.33007813","'90.86914063","'91.21093750","'93.35937500","'92.08984375","'93.01757813","'90.91796875",
"'89.55078125","'91.30859375","'88.18359375","'86.52343750","'89.01367188","'89.35546875","'91.45507813","'90.23437500","'91.11328125","'89.06250000",
"'91.55273438","'93.31054688","'90.08789063","'88.42773438","'90.96679688","'91.30859375","'93.45703125","'92.18750000","'93.11523438","'91.01562500",
"'91.79687500","'93.55468750","'90.33203125","'88.67187500","'91.21093750","'91.55273438","'93.70117188","'92.43164063","'93.35937500","'91.25976563",
"'89.89257813","'91.65039063","'88.47656250","'86.81640625","'89.35546875","'89.69726563","'91.79687500","'90.52734375","'91.45507813","'89.40429688",
"'89.84375000","'91.60156250","'88.42773438","'86.81640625","'89.30664063","'89.64843750","'91.74804688","'90.47851563","'91.40625000","'89.35546875",
"'91.21093750","'92.96875000","'89.79492188","'88.08593750","'90.67382813","'90.96679688","'93.11523438","'91.84570313","'92.77343750","'90.72265625",
"'89.64843750","'91.40625000","'88.23242188","'86.62109375","'89.11132813","'89.45312500","'91.55273438","'90.28320313","'91.21093750","'89.16015625",
"'91.21093750","'92.96875000","'89.79492188","'88.08593750","'90.67382813","'90.96679688","'93.11523438","'91.84570313","'92.77343750","'90.72265625",
"'93.21289063","'95.01953125","'91.74804688","'90.03906250","'92.67578125","'93.01757813","'95.16601563","'93.89648438","'94.82421875","'92.72460938",
